Year,Name,Team,Position,Game Date,Home or Away,Opponent,Location,Extra Points Made,Extra Points Attempted,Percentage of Extra Points Made
2015,"Hopkins, Dustin",WAS,K,09/20,Home,LAR,FedExField,3,3,100
2015,"Hopkins, Dustin",WAS,K,09/24,Away,NYG,MetLife Stadium,1,1,100
2015,"Hopkins, Dustin",WAS,K,10/04,Home,PHI,FedExField,2,2,100
2015,"Hopkins, Dustin",WAS,K,10/11,Away,ATL,Mercedes-Benz Stadium,1,1,100
2015,"Hopkins, Dustin",WAS,K,10/18,Away,NYJ,MetLife Stadium,2,2,100
2015,"Hopkins, Dustin",WAS,K,10/25,Home,TB,FedExField,4,4,100
2015,"Hopkins, Dustin",WAS,K,11/08,Away,NE,Gillete Stadium,1,1,100
2015,"Hopkins, Dustin",WAS,K,11/15,Home,NO,FedExField,5,5,100
2015,"Hopkins, Dustin",WAS,K,11/22,Away,CAR,Bank of America Stadium,2,2,100
2015,"Hopkins, Dustin",WAS,K,11/29,Home,NYG,FedExField,2,2,100
2015,"Hopkins, Dustin",WAS,K,12/07,Home,DAL,FedExField,1,1,100
2015,"Hopkins, Dustin",WAS,K,12/13,Away,CHI,Soldier Field,3,3,100
2015,"Hopkins, Dustin",WAS,K,12/20,Home,BUF,FedExField,5,5,100
2015,"Hopkins, Dustin",WAS,K,12/26,Away,PHI,Lincoln Financial Field,3,4,75
2015,"Hopkins, Dustin",WAS,K,01/03,Away,DAL,AT&T Stadium,4,4,100
2015,"Bullock, Randy",CIN,K,09/13,Home,KC,Paul Brown Stadium,0,1,0
2015,"Bullock, Randy",CIN,K,09/20,Away,CAR,Bank of America Stadium,2,2,100
2015,"Bullock, Randy",CIN,K,09/27,Home,TB,Paul Brown Stadium,1,2,50
2015,"Bullock, Randy",CIN,K,11/12,Home,BUF,Paul Brown Stadium,2,2,100
2015,"Bullock, Randy",CIN,K,11/22,Away,HOU,NRG Stadium,2,2,100
2015,"Bullock, Randy",CIN,K,11/29,Home,MIA,Paul Brown Stadium,5,5,100
2015,"Bullock, Randy",CIN,K,12/06,Away,NYG,MetLife Stadium,2,2,100
2015,"Bullock, Randy",CIN,K,12/13,Home,TEN,Paul Brown Stadium,3,3,100
2015,"Bullock, Randy",CIN,K,12/19,Away,DAL,AT&T Stadium,1,2,50
2015,"Bullock, Randy",CIN,K,12/27,Home,NE,Paul Brown Stadium,2,2,100
2015,"Bullock, Randy",CIN,K,01/03,Away,BUF,New Era Field,2,2,100
2015,"Novak, Nick",HOU,K,10/04,Away,ATL,Mercedes-Benz Stadium,3,3,100
2015,"Novak, Nick",HOU,K,10/08,Home,IND,NRG Stadium,2,2,100
2015,"Novak, Nick",HOU,K,10/18,Away,JAX,TIAA Bank Field,4,4,100
2015,"Novak, Nick",HOU,K,10/25,Away,MIA,Hard Rock Stadium,2,3,66.7
2015,"Novak, Nick",HOU,K,11/01,Home,TEN,NRG Stadium,2,2,100
2015,"Novak, Nick",HOU,K,11/16,Away,CIN,Paul Brown Stadium,1,1,100
2015,"Novak, Nick",HOU,K,11/22,Home,NYJ,NRG Stadium,3,3,100
2015,"Novak, Nick",HOU,K,11/29,Home,NO,NRG Stadium,3,3,100
2015,"Novak, Nick",HOU,K,12/06,Away,BUF,New Era Field,1,2,50
2015,"Novak, Nick",HOU,K,12/13,Home,NE,NRG Stadium,0,0,--
2015,"Novak, Nick",HOU,K,12/20,Away,IND,Lucas Oil Stadium,1,1,100
2015,"Novak, Nick",HOU,K,12/27,Away,TEN,Nissan Stadium,4,4,100
2015,"Novak, Nick",HOU,K,01/03,Home,JAX,NRG Stadium,3,3,100
2015,"Vinatieri, Adam",IND,K,09/13,Away,BUF,New Era Field,0,0,--
2015,"Vinatieri, Adam",IND,K,09/21,Home,NYJ,Lucas Oil Stadium,1,1,100
2015,"Vinatieri, Adam",IND,K,09/27,Away,TEN,Nissan Stadium,5,5,100
2015,"Vinatieri, Adam",IND,K,10/04,Home,JAX,Lucas Oil Stadium,1,1,100
2015,"Vinatieri, Adam",IND,K,10/08,Away,HOU,NRG Stadium,3,3,100
2015,"Vinatieri, Adam",IND,K,10/18,Home,NE,Lucas Oil Stadium,3,4,75
2015,"Vinatieri, Adam",IND,K,10/25,Home,NO,Lucas Oil Stadium,3,3,100
2015,"Vinatieri, Adam",IND,K,11/02,Away,CAR,Bank of America Stadium,2,2,100
2015,"Vinatieri, Adam",IND,K,11/08,Home,DEN,Lucas Oil Stadium,3,3,100
2015,"Vinatieri, Adam",IND,K,11/22,Away,ATL,Mercedes-Benz Stadium,3,3,100
2015,"Vinatieri, Adam",IND,K,11/29,Home,TB,Lucas Oil Stadium,1,2,50
2015,"Vinatieri, Adam",IND,K,12/06,Away,PIT,Heinz Field,1,1,100
2015,"Vinatieri, Adam",IND,K,12/13,Away,JAX,TIAA Bank Field,1,1,100
2015,"Vinatieri, Adam",IND,K,12/20,Home,HOU,Lucas Oil Stadium,1,1,100
2015,"Vinatieri, Adam",IND,K,12/27,Away,MIA,Hard Rock Stadium,1,2,50
2015,"Vinatieri, Adam",IND,K,01/03,Home,TEN,Lucas Oil Stadium,3,3,100
2015,"Folk, Nick",NYJ,K,09/13,Home,CLE,MetLife Stadium,4,4,100
2015,"Folk, Nick",NYJ,K,09/21,Away,IND,Lucas Oil Stadium,2,2,100
2015,"Folk, Nick",NYJ,K,09/27,Home,PHI,MetLife Stadium,2,2,100
2015,"Folk, Nick",NYJ,K,10/04,Away,MIA,Hard Rock Stadium,3,3,100
2015,"Folk, Nick",NYJ,K,10/18,Home,WAS,MetLife Stadium,4,4,100
2015,"Folk, Nick",NYJ,K,10/25,Away,NE,Gillete Stadium,2,2,100
2015,"Folk, Nick",NYJ,K,11/01,Away,OAK,Oakland–Alameda County Coliseum,2,2,100
2015,"Folk, Nick",NYJ,K,11/08,Home,JAX,MetLife Stadium,--,--,--
2015,"Franks, Andrew",MIA,K,09/13,Away,WAS,FedExField,2,2,100
2015,"Franks, Andrew",MIA,K,09/20,Away,JAX,TIAA Bank Field,2,2,100
